feature,importance
Home_Corner_Std,833
Market_Overround,788
Away_Corner_Std,697
Home_Corners_For_Avg,591
Away_Corners_Against_Avg,573
Home_Corners_Against_Avg,498
Home_Clean_Sheets,472
Home_Points,443
Home_Corners_Against_Last5,398
Away_Corner_Diff_Avg,377
Away_Corners_For_Avg,375
Draw_ImpliedProb,341
Home_Corner_Diff_Avg,331
Away_Corners_For_Last5,330
Away_Failed_Score,322
Market_Confidence,322
Home_Corners_For_Last5,320
Away_Clean_Sheets,311
Home_Corners_For_Last3,310
Away_Corners_Against_Last3,307
General_Form,305
Home_Goals_Conceded_Avg,300
Home_League_Position,287
Goals_Diff_Away,287
Away_Goals_Conceded_Avg,286
Away_League_Position,285
Goals_Diff_Home,284
Away_Points,273
Home_Goals_Scored_Avg,265
Home_Win_Rate,264
Home_Corners_Against_Last3,243
Away_ImpliedProb,242
Home_Failed_Score,231
Away_Win_Rate,230
Away_Goals_Scored_Avg,221
Away_Corners_For_Last3,214
Home_ImpliedProb,208
Position_Diff,203
Points_Diff,195
Away_Corners_Against_Last5,167
Home_Form,154
Away_Form,149
Underdog_Odds,130
h2h_total_goals,102
B365D_Original,79
h2h_away_goals,46
Favorite_Odds,46
B365A_Original,39
B365H_Original,35
h2h_home_goals,30
h2h_home_win_rate,30
h2h_draw_rate,23
h2h_away_win_rate,21
Home_Is_Favorite,2
Away_Value,0
Home_Value,0
Draw_Value,0
